Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2001,21,STL,NL,161,676,51,-2,-2,6,-5,48,4.6,21,69,6.6,0.529,0.529,6.1,0,63,"$200,000 ",5379/DH,ASMVP-4RoY-1SS
2002,22,STL,NL,157,675,45,2,-2,-4,-5,35,3.5,21,56,5.5,0.523,0.522,6,-1,60,"$600,000 ",*753/DH96,MVP-2
2003,23,STL,NL,157,685,73,2,0,1,-8,69,6.6,21,90,8.7,0.543,0.542,8.6,-0.8,88,"$900,000 ",*73/HD,ASMVP-2SS
2004,24,STL,NL,154,692,69,1,-1,7,-9,68,6.5,21,88,8.5,0.543,0.541,7.9,-0.3,81,"$7,000,000 ",*3/DH,ASMVP-3SS
2005,25,STL,NL,161,700,55,5,-1,13,-8,64,6.3,22,85,8.4,0.54,0.54,7.1,0.4,72,"$11,000,000 ",*3/H,ASMVP-1
2006,26,STL,NL,143,634,61,2,-2,17,-8,70,6.6,20,89,8.5,0.547,0.541,6.8,0.9,72,"$14,000,000 ",*3/H,ASMVP-2GG
2007,27,STL,NL,158,679,51,-2,-3,31,-8,69,6.7,21,90,8.7,0.543,0.542,5.7,2.3,59,"$12,937,813 ",*3/H,ASMVP-9
2008,28,STL,NL,148,641,65,0,0,18,-8,76,7.3,20,96,9.2,0.551,0.547,7.5,1,78,"$13,870,949 ",*3/HD4,ASMVP-1SS
2009,29,STL,NL,160,700,67,3,-3,17,-9,76,7.6,21,98,9.7,0.548,0.548,7.9,0.8,81,"$14,427,326 ",*3/HD,ASMVP-1SS
2010,30,STL,NL,159,700,54,3,-2,8,-9,54,5.5,21,75,7.5,0.535,0.535,6.7,-0.1,67,"$14,595,953 ",*3/H,ASMVP-2GGSS
2011,31,STL,NL,147,651,34,1,-4,9,-8,31,3.4,19,51,5.3,0.523,0.521,4.2,0.1,42,"$14,508,395 ",*3/5H,MVP-5
2012,32,LAA,AL,154,670,27,0,-2,9,-10,24,2.4,25,48,4.8,0.516,0.515,4,-0.1,39,"$12,000,000 ",*3D/5,MVP-17
2013,33,LAA,AL,99,443,10,-2,-2,2,-8,0,0.2,15,15,1.6,0.5,0.5,1.3,-0.5,13,"$16,000,000 ",D3,
2014,34,LAA,AL,159,695,22,-2,-3,5,-10,12,1.5,24,36,3.9,0.508,0.508,3.2,-0.4,31,"$23,000,000 ",*3D/5,MVP-17
2015,35,LAA,AL,157,661,12,-1,0,3,-11,4,0.7,24,28,3,0.503,0.503,2.6,-0.7,25,"$24,000,000 ",3D/5,AS
2016,36,LAA,AL,152,650,9,-1,-3,-2,-13,-9,-0.8,23,15,1.5,0.494,0.494,1.7,-1.5,17,"$25,000,000 ",*D3/H,
2017,37,LAA,AL,149,636,-20,0,-5,-1,-14,-40,-4,23,-17,-1.8,0.473,0.475,-1.7,-1.4,-16,"$26,000,000 ",*D/3H,
2018,38,LAA,AL,117,498,-3,-3,-2,0,-8,-16,-1.4,18,2,0.3,0.486,0.49,0.2,-0.7,2,"$27,000,000 ",3D,
2019,39,LAA,AL,131,545,-5,0,-4,-1,-8,-18,-1.5,20,2,0.3,0.487,0.489,0.3,-0.7,3,"$28,000,000 ",3D/H5,
2020,40,LAA,AL,39,163,-6,0,-1,4,-2,-5,-0.5,6,1,0,0.487,0.497,-0.4,0.2,-4,"$29,000,000 ",3D/H,
2021,41,LAA,AL,24,92,-5,-1,-1,-3,-1,-10,-1,3,-7,-0.7,0.456,0.494,-0.4,-0.4,-4,"$30,000,000 ",3/DH5,
2021,41,LAD,NL,85,204,-1,1,-1,-1,-2,-5,-0.6,7,2,0.1,0.494,0.497,0.2,-0.4,3,,3H,
