Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1994,18,SEA,AL,17,59,-7,0,0,0,1,-5,-0.5,2,-3,-0.3,0.474,0.497,-0.3,0.1,-3,"$442,333 ",6,
1995,19,SEA,AL,48,149,-7,-1,0,-4,2,-9,-0.9,6,-4,-0.4,0.482,0.495,0,-0.1,0,"$442,333 ",6/HD,
1996,20,SEA,AL,146,677,58,3,-1,8,9,78,7.2,24,102,9.4,0.548,0.543,8.5,1.8,94,"$442,334 ",*6/H,ASMVP-2SS
1997,21,SEA,AL,141,638,24,8,0,-5,9,36,3.5,23,59,5.7,0.524,0.521,6.2,0.4,64,"$1,062,500 ",*6/D,AS
1998,22,SEA,AL,161,748,38,5,3,8,10,64,6.1,26,90,8.5,0.537,0.537,7.8,1.7,82,"$2,162,500 ",*6/D,ASMVP-9SS
1999,23,SEA,AL,129,572,26,2,-1,-5,8,30,2.8,21,51,4.8,0.521,0.517,5.3,0.3,56,"$3,112,500 ",*6,MVP-15SS
2000,24,SEA,AL,148,672,58,6,1,16,9,90,8.1,24,114,10.4,0.554,0.55,8.9,2.4,98,"$4,362,500 ",*6,ASMVP-3SS
2001,25,TEX,AL,162,732,58,5,-1,-9,9,61,5.9,26,87,8.3,0.536,0.536,9.2,0.1,97,"$22,000,000 ",*6/D,ASMVP-6SS
2002,26,TEX,AL,162,725,51,5,-1,1,9,66,6.3,26,92,8.8,0.539,0.539,8.7,1.1,90,"$22,000,000 ",*6/H,ASMVP-2GGSS
2003,27,TEX,AL,161,715,41,3,0,8,8,61,5.9,26,87,8.4,0.536,0.536,7.6,1.7,79,"$22,000,000 ",*6/HD,ASMVP-1GGSS
2004,28,NYY,AL,155,698,33,4,0,14,3,54,5.2,25,79,7.6,0.533,0.531,6.2,1.8,65,"$22,000,000 ",*5/6,ASMVP-14
2005,29,NYY,AL,162,715,66,0,2,0,3,71,6.9,26,97,9.4,0.543,0.543,9.4,0.4,97,"$26,000,000 ",*5/6D,ASMVP-1SS
2006,30,NYY,AL,154,674,31,2,-1,-13,3,22,2.2,24,46,4.5,0.513,0.513,5.7,-0.9,59,"$21,680,727 ",*5/DH,ASMVP-13
2007,31,NYY,AL,158,708,65,7,0,-1,3,74,7,25,99,9.4,0.544,0.543,9.5,0.2,100,"$22,708,525 ",*5/D,ASMVP-1SS
2008,32,NYY,AL,138,594,39,5,-2,2,2,46,4.7,22,68,6.8,0.533,0.528,6.5,0.5,66,"$28,000,000 ",*5/D,ASMVP-8SS
2009,33,NYY,AL,124,535,26,2,-1,-5,2,23,2.3,20,42,4.2,0.518,0.514,4.7,-0.3,47,"$33,000,000 ",*5/DH,MVP-10
2010,34,NYY,AL,137,595,14,-1,1,3,1,19,2,22,40,4.2,0.514,0.512,3.8,0.6,37,"$33,000,000 ",*5D/H,ASMVP-15
2011,35,NYY,AL,99,428,10,1,-2,14,1,24,2.5,16,39,4,0.525,0.515,2.6,1.6,25,"$32,000,000 ",5D/H,AS
2012,36,NYY,AL,122,529,7,1,-1,-2,-2,4,0.3,19,23,2.2,0.503,0.502,2.6,-0.4,25,"$29,000,000 ",5D/H,
2013,37,NYY,AL,44,181,3,-2,-1,-6,-1,-6,-0.6,6,0,0,0.485,0.496,0.6,-0.7,6,"$28,000,000 ",5D/H,
2014,,,,,,,,,,,,,,,,,,,,,,,
2015,39,NYY,AL,151,620,20,0,-1,-1,-12,6,0.8,22,28,3,0.504,0.504,3,-1.3,29,"$22,000,000 ",*DH/53,MVP-28
2016,40,NYY,AL,65,243,-14,0,0,0,-5,-20,-2,9,-11,-1.2,0.468,0.487,-1.2,-0.5,-11,"$21,000,000 ",D/H5,
