Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1997,21,MIN,AL,15,51,0,-1,0,0,-1,-1,-0.1,2,1,0.1,0.492,0.499,0.1,-0.1,1,,3/HD,
1998,22,MIN,AL,86,326,5,1,0,-6,-5,-6,-0.5,12,7,0.7,0.494,0.497,1.3,-1,13,"$170,000 ",3D/H,
1999,23,MIN,AL,10,25,-5,0,-1,-1,-1,-7,-0.6,1,-6,-0.6,0.436,0.496,-0.5,-0.1,-5,,/DH3,
2000,24,MIN,AL,130,478,1,0,-1,-1,-10,-11,-0.9,18,7,0.7,0.492,0.494,0.8,-0.9,8,"$220,000 ",D3H,
2001,25,MIN,AL,89,347,-1,0,-1,0,-8,-10,-0.9,13,3,0.3,0.489,0.494,0.3,-0.7,3,"$260,000 ",D/3H,
2002,26,MIN,AL,125,466,10,-3,0,-1,-10,-3,-0.3,17,14,1.3,0.497,0.498,1.5,-1,15,"$950,000 ",DH3,
2003,27,BOS,AL,128,509,26,-2,2,-1,-9,16,1.6,19,35,3.4,0.512,0.509,3.5,-0.9,36,"$1,250,000 ",D3H,MVP-5
2004,28,BOS,AL,150,669,34,-1,0,-1,-13,19,2,24,44,4.3,0.512,0.511,4.3,-1.2,45,"$4,587,500 ",*D3/H,ASMVP-4SS
2005,29,BOS,AL,159,713,49,-4,0,-1,-15,28,2.8,25,54,5.2,0.518,0.517,5.4,-1.6,55,"$5,250,000 ",*D3/H,ASMVP-2SS
2006,30,BOS,AL,151,686,48,-1,1,1,-13,36,3.5,24,59,5.8,0.523,0.521,5.7,-1.1,58,"$6,500,000 ",*D3/H,ASMVP-3SS
2007,31,BOS,AL,149,667,58,-1,-1,-1,-13,42,4.1,24,66,6.4,0.527,0.525,6.5,-1.4,67,"$13,250,000 ",*D/3H,ASMVP-4SS
2008,32,BOS,AL,109,491,11,-2,0,0,-10,-1,0.1,17,17,1.7,0.499,0.5,1.7,-0.9,16,"$13,000,000 ",*D/H,AS
2009,33,BOS,AL,150,627,0,-2,0,0,-13,-16,-1.5,24,8,0.7,0.489,0.49,0.7,-1.3,8,"$13,000,000 ",*D/3H,
2010,34,BOS,AL,145,606,20,-3,1,0,-13,4,0.6,23,27,2.8,0.503,0.503,2.8,-1.3,27,"$13,000,000 ",*D/H3,AS
2011,35,BOS,AL,146,605,37,-4,-4,0,-13,17,1.8,23,39,4,0.512,0.511,4,-1.3,39,"$12,500,000 ",*D/H3,ASSS
2012,36,BOS,AL,90,383,30,-4,0,-1,-8,17,1.8,14,32,3.2,0.52,0.511,3.4,-1,33,"$14,575,000 ",D/3H,AS
2013,37,BOS,AL,137,600,38,-2,-2,-1,-12,21,2.4,21,42,4.4,0.516,0.514,4.4,-1.2,43,"$14,000,000 ",*D/3H,ASMVP-10SS
2014,38,BOS,AL,142,602,21,-4,-1,-1,-12,3,0.6,22,25,2.6,0.502,0.502,2.7,-1.3,26,"$15,000,000 ",*D/H3,
2015,39,BOS,AL,146,614,27,-3,-2,-2,-13,7,1,22,29,3.1,0.505,0.505,3.3,-1.5,31,"$16,000,000 ",*D/3H,MVP-28
2016,40,BOS,AL,151,626,46,-3,-3,1,-13,28,3,22,51,5.2,0.519,0.518,5.1,-1.2,50,"$16,000,000 ",*DH/3,ASMVP-6SS
